"PartNumber","PartDescription","PartDetails","UOM","UPC","PartTypeID","Active","PartTaxCode","StdCost","ProductNumber","ProductDescription","Price","ProductActive","ProductTaxCode","Vendor","DefaultVendor","VendorPartNumber","Cost","VendorUOM"
"WX-SA-2009","WX Sub-Assembly 2009","","ea","","10","true","NCG","36.85","WX-SA-2009","WX Sub-Assembly 2009","67","true","GST","","","","",""
"WX-SA-2010","WX Sub-Assembly 2010","","ea","","10","true","NCG","38.5","WX-SA-2010","WX Sub-Assembly 2010","70","true","GST","","","","",""
"WX-SA-2011","WX Sub-Assembly 2011","","ea","","10","true","NCG","40.15","WX-SA-2011","WX Sub-Assembly 2011","73","true","GST","","","","",""
"WX-SA-2012","WX Sub-Assembly 2012","","ea","","10","true","NCG","41.8","WX-SA-2012","WX Sub-Assembly 2012","76","true","GST","","","","",""
"WX-SA-2013","WX Sub-Assembly 2013","","ea","","10","true","NCG","43.45","WX-SA-2013","WX Sub-Assembly 2013","79","true","GST","","","","",""
"WX-SA-2014","WX Sub-Assembly 2014","","ea","","10","true","NCG","45.1","WX-SA-2014","WX Sub-Assembly 2014","82","true","GST","","","","",""
"WX-SA-2015","WX Sub-Assembly 2015","","ea","","10","true","NCG","46.75","WX-SA-2015","WX Sub-Assembly 2015","85","true","GST","","","","",""
"WX-SA-2016","WX Sub-Assembly 2016","","ea","","10","true","NCG","48.4","WX-SA-2016","WX Sub-Assembly 2016","88","true","GST","","","","",""
"WX-SA-2017","WX Sub-Assembly 2017","","ea","","10","true","NCG","50.05","WX-SA-2017","WX Sub-Assembly 2017","91","true","GST","","","","",""
"WX-SA-2018","WX Sub-Assembly 2018","","ea","","10","true","NCG","51.7","WX-SA-2018","WX Sub-Assembly 2018","94","true","GST","","","","",""
"WX-SA-2019","WX Sub-Assembly 2019","","ea","","10","true","NCG","53.35","WX-SA-2019","WX Sub-Assembly 2019","97","true","GST","","","","",""
"WX-FG-1000","WX Widget Assembly 1000","","ea","","10","true","NCG","66","WX-FG-1000","WX Widget Assembly 1000","120","true","GST","","","","",""
"WX-FG-1001","WX Widget Assembly 1001","","ea","","10","true","NCG","70.13","WX-FG-1001","WX Widget Assembly 1001","127.5","true","GST","","","","",""
"WX-FG-1002","WX Widget Assembly 1002","","ea","","10","true","NCG","74.25","WX-FG-1002","WX Widget Assembly 1002","135","true","GST","","","","",""
"WX-FG-1003","WX Widget Assembly 1003","","ea","","10","true","NCG","78.38","WX-FG-1003","WX Widget Assembly 1003","142.5","true","GST","","","","",""
"WX-FG-1004","WX Widget Assembly 1004","","ea","","10","true","NCG","82.5","WX-FG-1004","WX Widget Assembly 1004","150","true","GST","","","","",""
"WX-FG-1005","WX Widget Assembly 1005","","ea","","10","true","NCG","86.63","WX-FG-1005","WX Widget Assembly 1005","157.5","true","GST","","","","",""
"WX-FG-1006","WX Widget Assembly 1006","","ea","","10","true","NCG","90.75","WX-FG-1006","WX Widget Assembly 1006","165","true","GST","","","","",""
"WX-FG-1007","WX Widget Assembly 1007","","ea","","10","true","NCG","94.88","WX-FG-1007","WX Widget Assembly 1007","172.5","true","GST","","","","",""
"WX-FG-1008","WX Widget Assembly 1008","","ea","","10","true","NCG","99","WX-FG-1008","WX Widget Assembly 1008","180","true","GST","","","","",""
"WX-FG-1009","WX Widget Assembly 1009","","ea","","10","true","NCG","103.13","WX-FG-1009","WX Widget Assembly 1009","187.5","true","GST","","","","",""
"WX-FG-1010","WX Widget Assembly 1010","","ea","","10","true","NCG","107.25","WX-FG-1010","WX Widget Assembly 1010","195","true","GST","","","","",""
"WX-FG-1011","WX Widget Assembly 1011","","ea","","10","true","NCG","111.38","WX-FG-1011","WX Widget Assembly 1011","202.5","true","GST","","","","",""
"WX-FG-1012","WX Widget Assembly 1012","","ea","","10","true","NCG","115.5","WX-FG-1012","WX Widget Assembly 1012","210","true","GST","","","","",""
"WX-FG-1013","WX Widget Assembly 1013","","ea","","10","true","NCG","119.63","WX-FG-1013","WX Widget Assembly 1013","217.5","true","GST","","","","",""
"WX-FG-1014","WX Widget Assembly 1014","","ea","","10","true","NCG","123.75","WX-FG-1014","WX Widget Assembly 1014","225","true","GST","","","","",""
"WX-FG-1015","WX Widget Assembly 1015","","ea","","10","true","NCG","127.88","WX-FG-1015","WX Widget Assembly 1015","232.5","true","GST","","","","",""
"WX-FG-1016","WX Widget Assembly 1016","","ea","","10","true","NCG","132","WX-FG-1016","WX Widget Assembly 1016","240","true","GST","","","","",""
"WX-FG-1017","WX Widget Assembly 1017","","ea","","10","true","NCG","136.13","WX-FG-1017","WX Widget Assembly 1017","247.5","true","GST","","","","",""
"WX-FG-1018","WX Widget Assembly 1018","","ea","","10","true","NCG","140.25","WX-FG-1018","WX Widget Assembly 1018","255","true","GST","","","","",""
"WX-FG-1019","WX Widget Assembly 1019","","ea","","10","true","NCG","144.38","WX-FG-1019","WX Widget Assembly 1019","262.5","true","GST","","","","",""
"WX-FG-1020","WX Widget Assembly 1020","","ea","","10","true","NCG","148.5","WX-FG-1020","WX Widget Assembly 1020","270","true","GST","","","","",""
"WX-FG-1021","WX Widget Assembly 1021","","ea","","10","true","NCG","152.63","WX-FG-1021","WX Widget Assembly 1021","277.5","true","GST","","","","",""
"WX-FG-1022","WX Widget Assembly 1022","","ea","","10","true","NCG","156.75","WX-FG-1022","WX Widget Assembly 1022","285","true","GST","","","","",""
"WX-FG-1023","WX Widget Assembly 1023","","ea","","10","true","NCG","160.88","WX-FG-1023","WX Widget Assembly 1023","292.5","true","GST","","","","",""
"WX-FG-1024","WX Widget Assembly 1024","","ea","","10","true","NCG","165","WX-FG-1024","WX Widget Assembly 1024","300","true","GST","","","","",""
"WX-FG-1025","WX Widget Assembly 1025","","ea","","10","true","NCG","169.13","WX-FG-1025","WX Widget Assembly 1025","307.5","true","GST","","","","",""
"WX-FG-1026","WX Widget Assembly 1026","","ea","","10","true","NCG","173.25","WX-FG-1026","WX Widget Assembly 1026","315","true","GST","","","","",""
"WX-FG-1027","WX Widget Assembly 1027","","ea","","10","true","NCG","177.38","WX-FG-1027","WX Widget Assembly 1027","322.5","true","GST","","","","",""
"WX-FG-1028","WX Widget Assembly 1028","","ea","","10","true","NCG","181.5","WX-FG-1028","WX Widget Assembly 1028","330","true","GST","","","","",""
"WX-FG-1029","WX Widget Assembly 1029","","ea","","10","true","NCG","185.63","WX-FG-1029","WX Widget Assembly 1029","337.5","true","GST","","","","",""
"WX-FG-1030","WX Widget Assembly 1030","","ea","","10","true","NCG","189.75","WX-FG-1030","WX Widget Assembly 1030","345","true","GST","","","","",""
"WX-FG-1031","WX Widget Assembly 1031","","ea","","10","true","NCG","193.88","WX-FG-1031","WX Widget Assembly 1031","352.5","true","GST","","","","",""
"WX-FG-1032","WX Widget Assembly 1032","","ea","","10","true","NCG","198","WX-FG-1032","WX Widget Assembly 1032","360","true","GST","","","","",""
"WX-FG-1033","WX Widget Assembly 1033","","ea","","10","true","NCG","202.13","WX-FG-1033","WX Widget Assembly 1033","367.5","true","GST","","","","",""
"WX-FG-1034","WX Widget Assembly 1034","","ea","","10","true","NCG","206.25","WX-FG-1034","WX Widget Assembly 1034","375","true","GST","","","","",""
"WX-FG-1035","WX Widget Assembly 1035","","ea","","10","true","NCG","210.38","WX-FG-1035","WX Widget Assembly 1035","382.5","true","GST","","","","",""
"WX-FG-1036","WX Widget Assembly 1036","","ea","","10","true","NCG","214.5","WX-FG-1036","WX Widget Assembly 1036","390","true","GST","","","","",""
"WX-FG-1037","WX Widget Assembly 1037","","ea","","10","true","NCG","218.63","WX-FG-1037","WX Widget Assembly 1037","397.5","true","GST","","","","",""
"WX-FG-1038","WX Widget Assembly 1038","","ea","","10","true","NCG","222.75","WX-FG-1038","WX Widget Assembly 1038","405","true","GST","","","","",""
"WX-FG-1039","WX Widget Assembly 1039","","ea","","10","true","NCG","226.88","WX-FG-1039","WX Widget Assembly 1039","412.5","true","GST","","","","",""
"WX-LAB-FAB","Fabrication labour","","hr","","21","true","NCG","","","","","","","","","","",""
"WX-LAB-ASSY","Assembly labour","","hr","","21","true","NCG","","","","","","","","","","",""
"WX-LAB-TEST","Test & QA labour","","hr","","21","true","NCG","","","","","","","","","","",""
