"BOM Number","BOM Description","Configurable","Type","Part Number","Part Description","Quantity","UOM","Estimated Duration (min)","Instructions"
"WX-FG-1002","","false","Raw Good","WX-SA-2002","WX Sub-Assembly 2002","1","ea","",""
"WX-FG-1002","","false","Raw Good","WX-RM-3017","WX Raw Component 3017","3","ft","",""
"WX-FG-1002","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","4","ea","",""
"WX-FG-1002","","false","Raw Good","WX-RM-3019","WX Raw Component 3019","1","kg","",""
"WX-FG-1002","","false","Raw Good","WX-RM-3020","WX Raw Component 3020","2","ea","",""
"WX-FG-1002","","false","Raw Good","WX-RM-3021","WX Raw Component 3021","3","ea","",""
"WX-FG-1002","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1","hr","",""
"WX-FG-1003","WX Widget Assembly 1003","false","Finished Good","WX-FG-1003","WX Widget Assembly 1003","1","ea","150",""
"WX-FG-1003","","false","Raw Good","WX-SA-2003","WX Sub-Assembly 2003","1","ea","",""
"WX-FG-1003","","false","Raw Good","WX-RM-3022","WX Raw Component 3022","4","m","",""
"WX-FG-1003","","false","Raw Good","WX-RM-3023","WX Raw Component 3023","1","kg","",""
"WX-FG-1003","","false","Raw Good","WX-RM-3024","WX Raw Component 3024","2","mm","",""
"WX-FG-1003","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.25","hr","",""
"WX-FG-1004","WX Widget Assembly 1004","false","Finished Good","WX-FG-1004","WX Widget Assembly 1004","1","ea","180",""
"WX-FG-1004","","false","Raw Good","WX-SA-2004","WX Sub-Assembly 2004","1","ea","",""
"WX-FG-1004","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","1","ft","",""
"WX-FG-1004","","false","Raw Good","WX-RM-3028","WX Raw Component 3028","2","ea","",""
"WX-FG-1004","","false","Raw Good","WX-RM-3029","WX Raw Component 3029","3","kg","",""
"WX-FG-1004","","false","Raw Good","WX-RM-3030","WX Raw Component 3030","4","ea","",""
"WX-FG-1004","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1.5","hr","",""
"WX-FG-1005","WX Widget Assembly 1005","false","Finished Good","WX-FG-1005","WX Widget Assembly 1005","1","ea","210",""
"WX-FG-1005","","false","Raw Good","WX-SA-2005","WX Sub-Assembly 2005","1","ea","",""
"WX-FG-1005","","false","Raw Good","WX-RM-3032","WX Raw Component 3032","2","m","",""
"WX-FG-1005","","false","Raw Good","WX-RM-3033","WX Raw Component 3033","3","kg","",""
"WX-FG-1005","","false","Raw Good","WX-RM-3034","WX Raw Component 3034","4","mm","",""
"WX-FG-1005","","false","Raw Good","WX-RM-3035","WX Raw Component 3035","1","ea","",""
"WX-FG-1005","","false","Raw Good","WX-RM-3036","WX Raw Component 3036","2","L","",""
"WX-FG-1005","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.5","hr","",""
"WX-FG-1006","WX Widget Assembly 1006","false","Finished Good","WX-FG-1006","WX Widget Assembly 1006","1","ea","60",""
"WX-FG-1006","","false","Raw Good","WX-SA-2006","WX Sub-Assembly 2006","1","ea","",""
"WX-FG-1006","","false","Raw Good","WX-RM-3037","WX Raw Component 3037","3","ft","",""
"WX-FG-1006","","false","Raw Good","WX-RM-3038","WX Raw Component 3038","4","ea","",""
"WX-FG-1006","","false","Raw Good","WX-RM-3039","WX Raw Component 3039","1","kg","",""
"WX-FG-1006","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.75","hr","",""
"WX-FG-1007","WX Widget Assembly 1007","false","Finished Good","WX-FG-1007","WX Widget Assembly 1007","1","ea","90",""
"WX-FG-1007","","false","Raw Good","WX-SA-2007","WX Sub-Assembly 2007","1","ea","",""
"WX-FG-1007","","false","Raw Good","WX-RM-3042","WX Raw Component 3042","4","m","",""
"WX-FG-1007","","false","Raw Good","WX-RM-3043","WX Raw Component 3043","1","kg","",""
"WX-FG-1007","","false","Raw Good","WX-RM-3044","WX Raw Component 3044","2","mm","",""
"WX-FG-1007","","false","Raw Good","WX-RM-3045","WX Raw Component 3045","3","ea","",""
"WX-FG-1007","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1","hr","",""
"WX-FG-1008","WX Widget Assembly 1008","false","Finished Good","WX-FG-1008","WX Widget Assembly 1008","1","ea","120",""
"WX-FG-1008","","false","Raw Good","WX-SA-2008","WX Sub-Assembly 2008","1","ea","",""
"WX-FG-1008","","false","Raw Good","WX-RM-3047","WX Raw Component 3047","1","ft","",""
"WX-FG-1008","","false","Raw Good","WX-RM-3048","WX Raw Component 3048","2","ea","",""
"WX-FG-1008","","false","Raw Good","WX-RM-3049","WX Raw Component 3049","3","kg","",""
"WX-FG-1008","","false","Raw Good","WX-RM-3000","WX Raw Component 3000","4","ea","",""
"WX-FG-1008","","false","Raw Good","WX-RM-3001","WX Raw Component 3001","1","ea","",""
"WX-FG-1008","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1.25","hr","",""
"WX-FG-1009","WX Widget Assembly 1009","false","Finished Good","WX-FG-1009","WX Widget Assembly 1009","1","ea","150",""
"WX-FG-1009","","false","Raw Good","WX-SA-2009","WX Sub-Assembly 2009","1","ea","",""
"WX-FG-1009","","false","Raw Good","WX-RM-3002","WX Raw Component 3002","2","m","",""
"WX-FG-1009","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","3","kg","",""
"WX-FG-1009","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","4","mm","",""
"WX-FG-1009","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.5","hr","",""
"WX-FG-1010","WX Widget Assembly 1010","false","Finished Good","WX-FG-1010","WX Widget Assembly 1010","1","ea","180",""
"WX-FG-1010","","false","Raw Good","WX-SA-2010","WX Sub-Assembly 2010","1","ea","",""
"WX-FG-1010","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","3","ft","",""
"WX-FG-1010","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","4","ea","",""
"WX-FG-1010","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","1","kg","",""
"WX-FG-1010","","false","Raw Good","WX-RM-3010","WX Raw Component 3010","2","ea","",""
"WX-FG-1010","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.5","hr","",""
"WX-FG-1011","WX Widget Assembly 1011","false","Finished Good","WX-FG-1011","WX Widget Assembly 1011","1","ea","210",""
"WX-FG-1011","","false","Raw Good","WX-SA-2011","WX Sub-Assembly 2011","1","ea","",""
"WX-FG-1011","","false","Raw Good","WX-RM-3012","WX Raw Component 3012","4","m","",""
"WX-FG-1011","","false","Raw Good","WX-RM-3013","WX Raw Component 3013","1","kg","",""
"WX-FG-1011","","false","Raw Good","WX-RM-3014","WX Raw Component 3014","2","mm","",""
"WX-FG-1011","","false","Raw Good","WX-RM-3015","WX Raw Component 3015","3","ea","",""
"WX-FG-1011","","false","Raw Good","WX-RM-3016","WX Raw Component 3016","4","L","",""
"WX-FG-1011","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.75","hr","",""
"WX-FG-1012","WX Widget Assembly 1012","false","Finished Good","WX-FG-1012","WX Widget Assembly 1012","1","ea","60",""
"WX-FG-1012","","false","Raw Good","WX-SA-2012","WX Sub-Assembly 2012","1","ea","",""
"WX-FG-1012","","false","Raw Good","WX-RM-3017","WX Raw Component 3017","1","ft","",""
"WX-FG-1012","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","2","ea","",""
"WX-FG-1012","","false","Raw Good","WX-RM-3019","WX Raw Component 3019","3","kg","",""
"WX-FG-1012","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1","hr","",""
"WX-FG-1013","WX Widget Assembly 1013","false","Finished Good","WX-FG-1013","WX Widget Assembly 1013","1","ea","90",""
"WX-FG-1013","","false","Raw Good","WX-SA-2013","WX Sub-Assembly 2013","1","ea","",""
"WX-FG-1013","","false","Raw Good","WX-RM-3022","WX Raw Component 3022","2","m","",""
"WX-FG-1013","","false","Raw Good","WX-RM-3023","WX Raw Component 3023","3","kg","",""
"WX-FG-1013","","false","Raw Good","WX-RM-3024","WX Raw Component 3024","4","mm","",""
"WX-FG-1013","","false","Raw Good","WX-RM-3025","WX Raw Component 3025","1","ea","",""
"WX-FG-1013","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1.25","hr","",""
"WX-FG-1014","WX Widget Assembly 1014","false","Finished Good","WX-FG-1014","WX Widget Assembly 1014","1","ea","120",""
"WX-FG-1014","","false","Raw Good","WX-SA-2014","WX Sub-Assembly 2014","1","ea","",""
"WX-FG-1014","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","3","ft","",""
"WX-FG-1014","","false","Raw Good","WX-RM-3028","WX Raw Component 3028","4","ea","",""
"WX-FG-1014","","false","Raw Good","WX-RM-3029","WX Raw Component 3029","1","kg","",""
"WX-FG-1014","","false","Raw Good","WX-RM-3030","WX Raw Component 3030","2","ea","",""
"WX-FG-1014","","false","Raw Good","WX-RM-3031","WX Raw Component 3031","3","ea","",""
"WX-FG-1014","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1.5","hr","",""
"WX-FG-1015","WX Widget Assembly 1015","false","Finished Good","WX-FG-1015","WX Widget Assembly 1015","1","ea","150",""
"WX-FG-1015","","false","Raw Good","WX-SA-2015","WX Sub-Assembly 2015","1","ea","",""
"WX-FG-1015","","false","Raw Good","WX-RM-3032","WX Raw Component 3032","4","m","",""
"WX-FG-1015","","false","Raw Good","WX-RM-3033","WX Raw Component 3033","1","kg","",""
"WX-FG-1015","","false","Raw Good","WX-RM-3034","WX Raw Component 3034","2","mm","",""
"WX-FG-1015","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.5","hr","",""
"WX-FG-1016","WX Widget Assembly 1016","false","Finished Good","WX-FG-1016","WX Widget Assembly 1016","1","ea","180",""
"WX-FG-1016","","false","Raw Good","WX-SA-2016","WX Sub-Assembly 2016","1","ea","",""
"WX-FG-1016","","false","Raw Good","WX-RM-3037","WX Raw Component 3037","1","ft","",""
"WX-FG-1016","","false","Raw Good","WX-RM-3038","WX Raw Component 3038","2","ea","",""
"WX-FG-1016","","false","Raw Good","WX-RM-3039","WX Raw Component 3039","3","kg","",""
"WX-FG-1016","","false","Raw Good","WX-RM-3040","WX Raw Component 3040","4","ea","",""
"WX-FG-1016","","false","Raw Good","WX-LAB-TEST","Test & QA labour","0.75","hr","",""
"WX-FG-1017","WX Widget Assembly 1017","false","Finished Good","WX-FG-1017","WX Widget Assembly 1017","1","ea","210",""
"WX-FG-1017","","false","Raw Good","WX-SA-2017","WX Sub-Assembly 2017","1","ea","",""
"WX-FG-1017","","false","Raw Good","WX-RM-3042","WX Raw Component 3042","2","m","",""
"WX-FG-1017","","false","Raw Good","WX-RM-3043","WX Raw Component 3043","3","kg","",""
"WX-FG-1017","","false","Raw Good","WX-RM-3044","WX Raw Component 3044","4","mm","",""
"WX-FG-1017","","false","Raw Good","WX-RM-3045","WX Raw Component 3045","1","ea","",""
"WX-FG-1017","","false","Raw Good","WX-RM-3046","WX Raw Component 3046","2","L","",""
"WX-FG-1017","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1","hr","",""
"WX-FG-1018","WX Widget Assembly 1018","false","Finished Good","WX-FG-1018","WX Widget Assembly 1018","1","ea","60",""
"WX-FG-1018","","false","Raw Good","WX-SA-2018","WX Sub-Assembly 2018","1","ea","",""
"WX-FG-1018","","false","Raw Good","WX-RM-3047","WX Raw Component 3047","3","ft","",""
"WX-FG-1018","","false","Raw Good","WX-RM-3048","WX Raw Component 3048","4","ea","",""
"WX-FG-1018","","false","Raw Good","WX-RM-3049","WX Raw Component 3049","1","kg","",""
"WX-FG-1018","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.25","hr","",""
"WX-FG-1019","WX Widget Assembly 1019","false","Finished Good","WX-FG-1019","WX Widget Assembly 1019","1","ea","90",""
"WX-FG-1019","","false","Raw Good","WX-SA-2019","WX Sub-Assembly 2019","1","ea","",""
"WX-FG-1019","","false","Raw Good","WX-RM-3002","WX Raw Component 3002","4","m","",""
"WX-FG-1019","","false","Raw Good","WX-RM-3003","WX Raw Component 3003","1","kg","",""
"WX-FG-1019","","false","Raw Good","WX-RM-3004","WX Raw Component 3004","2","mm","",""
"WX-FG-1019","","false","Raw Good","WX-RM-3005","WX Raw Component 3005","3","ea","",""
"WX-FG-1019","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1.5","hr","",""
"WX-FG-1020","WX Widget Assembly 1020","false","Finished Good","WX-FG-1020","WX Widget Assembly 1020","1","ea","120",""
"WX-FG-1020","","false","Raw Good","WX-SA-2000","WX Sub-Assembly 2000","1","ea","",""
"WX-FG-1020","","false","Raw Good","WX-RM-3007","WX Raw Component 3007","1","ft","",""
"WX-FG-1020","","false","Raw Good","WX-RM-3008","WX Raw Component 3008","2","ea","",""
"WX-FG-1020","","false","Raw Good","WX-RM-3009","WX Raw Component 3009","3","kg","",""
"WX-FG-1020","","false","Raw Good","WX-RM-3010","WX Raw Component 3010","4","ea","",""
"WX-FG-1020","","false","Raw Good","WX-RM-3011","WX Raw Component 3011","1","ea","",""
"WX-FG-1020","","false","Raw Good","WX-LAB-FAB","Fabrication labour","0.5","hr","",""
"WX-FG-1021","WX Widget Assembly 1021","false","Finished Good","WX-FG-1021","WX Widget Assembly 1021","1","ea","150",""
"WX-FG-1021","","false","Raw Good","WX-SA-2001","WX Sub-Assembly 2001","1","ea","",""
"WX-FG-1021","","false","Raw Good","WX-RM-3012","WX Raw Component 3012","2","m","",""
"WX-FG-1021","","false","Raw Good","WX-RM-3013","WX Raw Component 3013","3","kg","",""
"WX-FG-1021","","false","Raw Good","WX-RM-3014","WX Raw Component 3014","4","mm","",""
"WX-FG-1021","","false","Raw Good","WX-LAB-ASSY","Assembly labour","0.75","hr","",""
"WX-FG-1022","WX Widget Assembly 1022","false","Finished Good","WX-FG-1022","WX Widget Assembly 1022","1","ea","180",""
"WX-FG-1022","","false","Raw Good","WX-SA-2002","WX Sub-Assembly 2002","1","ea","",""
"WX-FG-1022","","false","Raw Good","WX-RM-3017","WX Raw Component 3017","3","ft","",""
"WX-FG-1022","","false","Raw Good","WX-RM-3018","WX Raw Component 3018","4","ea","",""
"WX-FG-1022","","false","Raw Good","WX-RM-3019","WX Raw Component 3019","1","kg","",""
"WX-FG-1022","","false","Raw Good","WX-RM-3020","WX Raw Component 3020","2","ea","",""
"WX-FG-1022","","false","Raw Good","WX-LAB-TEST","Test & QA labour","1","hr","",""
"WX-FG-1023","WX Widget Assembly 1023","false","Finished Good","WX-FG-1023","WX Widget Assembly 1023","1","ea","210",""
"WX-FG-1023","","false","Raw Good","WX-SA-2003","WX Sub-Assembly 2003","1","ea","",""
"WX-FG-1023","","false","Raw Good","WX-RM-3022","WX Raw Component 3022","4","m","",""
"WX-FG-1023","","false","Raw Good","WX-RM-3023","WX Raw Component 3023","1","kg","",""
"WX-FG-1023","","false","Raw Good","WX-RM-3024","WX Raw Component 3024","2","mm","",""
"WX-FG-1023","","false","Raw Good","WX-RM-3025","WX Raw Component 3025","3","ea","",""
"WX-FG-1023","","false","Raw Good","WX-RM-3026","WX Raw Component 3026","4","L","",""
"WX-FG-1023","","false","Raw Good","WX-LAB-FAB","Fabrication labour","1.25","hr","",""
"WX-FG-1024","WX Widget Assembly 1024","false","Finished Good","WX-FG-1024","WX Widget Assembly 1024","1","ea","60",""
"WX-FG-1024","","false","Raw Good","WX-SA-2004","WX Sub-Assembly 2004","1","ea","",""
"WX-FG-1024","","false","Raw Good","WX-RM-3027","WX Raw Component 3027","1","ft","",""
"WX-FG-1024","","false","Raw Good","WX-RM-3028","WX Raw Component 3028","2","ea","",""
"WX-FG-1024","","false","Raw Good","WX-RM-3029","WX Raw Component 3029","3","kg","",""
"WX-FG-1024","","false","Raw Good","WX-LAB-ASSY","Assembly labour","1.5","hr","",""
"WX-FG-1025","WX Widget Assembly 1025","false","Finished Good","WX-FG-1025","WX Widget Assembly 1025","1","ea","90",""
"WX-FG-1025","","false","Raw Good","WX-SA-2005","WX Sub-Assembly 2005","1","ea","",""
"WX-FG-1025","","false","Raw Good","WX-RM-3032","WX Raw Component 3032","2","m","",""
"WX-FG-1025","","false","Raw Good","WX-RM-3033","WX Raw Component 3033","3","kg","",""
"WX-FG-1025","","false","Raw Good","WX-RM-3034","WX Raw Component 3034","4","mm","",""
